S.No,Title,Submission ID,Time
58,"Coderag-Bench: Can Retrieval Augment Code Generation?",43263531,"2 hours ago"
59,"Launch of first 50-qubit quantum computer developed in Europe",43263522,"2 hours ago"
60,"The Wild West of AI Companionship",43263504,"2 hours ago"
61,"Rockets Are Blasting the Environment",43263498,"2 hours ago"
62,"exploring and sharing personal/retro looking websites",43263492,"2 hours ago"
63,"Prompt Injection in LLMs using emojis",43263484,"2 hours ago"
64,"Andromeda Cluster: 15 exaflops for startups",43263457,"2 hours ago"
65,"Practical guide to running LLMs on consumer CPUs",43263440,"2 hours ago"
66,"Vars.gg – 1v1 Coding",43263427,"2 hours ago"
67,"AI agents could make the internet go dark",43263394,"2 hours ago"
68,"Detroit woman sues police for technological error",43263380,"2 hours ago"
69,"Vending-Bench: Testing long-term coherence in agents",43263377,"2 hours ago"
70,"Netflix knows you're on your phone–and it's changing how shows get made",43263373,"2 hours ago"
71,"A Maze of Murderscapes: Metroid II (2015)",43263365,"2 hours ago"
72,"Goldman Sachs to Target Vice Presidents in Next Round of Cuts",43263358,"2 hours ago"
73,"What Is the Carried Interest Loophole, and Why Is It Difficult to Close? (2024)",43263350,"2 hours ago"
74,"Report on the Work of the Government [pdf]",43263311,"3 hours ago"
75,"US Demand for Gasoline Faces Long-Term Structural Problem",43263295,"3 hours ago"
76,"Ask HN: I once built a domain registrar. How can I make money?",43263272,"3 hours ago"
77,"QR Show in NYC, March 16th",43263236,"3 hours ago"
78,"Launching V0 of AI Agents to Find You Great AI Engineers",43263201,"3 hours ago"
79,"Ancient ocean coastal deposits imaged on Mars",43263190,"3 hours ago"
80,"Unique formation of organic glass from a human brain in the Vesuvius eruption",43263186,"3 hours ago"
81,"Learning Quiet Walking for a Small Home Robot",43263175,"3 hours ago"
82,"CSSQL: "Esoteric" "Programming" "Language" Compiler for Converting SQL to CSS",43263149,"3 hours ago"
83,"Do Emulsifiers, Which Make Food More Appealing, Also Make You Sick?",43263127,"3 hours ago"
84,"The Performance of Replica Identity Full in Postgres",43263123,"3 hours ago"
85,"The Five Year Old Test",43263106,"3 hours ago"
86,"Convolutional Multi-Hybrid Language Models",43263088,"3 hours ago"
87,"Homoiconicity",43263041,"3 hours ago"
88,"New Method to Leverage Unsafe Reflection and Deserialisation to RCE on Rails",43263040,"3 hours ago"
89,"Men with higher-quality sperm live longer, study finds",43262983,"4 hours ago"
90,"AI Code review is always wrong",43262957,"4 hours ago"
91,"Wow Watch Firefly Blue Ghost Land on the Moon [video]",43262926,"4 hours ago"
92,"Why Techdirt Is Now a Democracy Blog (Whether We Like It or Not)",43262912,"4 hours ago"
93,"GenAI Isn't Killing SaaS",43262874,"4 hours ago"
94,"Photos of Every Writer's Typewriter",43262873,"4 hours ago"
95,"A Guide to Customer Identity and Access Management Products for Developers",43262862,"4 hours ago"
96,"MFA Fatigue: A Growing Headache for Schools",43262859,"4 hours ago"
97,"Tailwind CSS Recommend Multi Cursor Editing to Make Styling More Reusable",43262856,"4 hours ago"
98,"Scientists aiming to bring back woolly mammoth create woolly mice",43262809,"4 hours ago"
99,"Financial NLP with RL: 3B Model Outperforms Frontier Models",43262767,"4 hours ago"
100,"What Rosalind Franklin contributed to the discovery of DNA's structure",43262743,"4 hours ago"
